Result for RegNo: 22155135001
105401,Computer Organization & Architecture,41,27,68,C,3.00
105402,Design & Analysis of Algorithms,45,19,64,C,3.00
105403,Operating Systems,36,20,56,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135023
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,29,20,49,P,3.00
100404,Discrete Mathematics,25,17,42,P,4.00
100407,Human Resource Development and Organizational Behavior,34,23,57,D,3.00
105401,Computer Organization & Architecture,36,23,59,D,3.00
105402,Design & Analysis of Algorithms,25,16,41,P,3.00
105403,Operating Systems,27,17,44,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135024
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,35,23,58,D,3.00
100404,Discrete Mathematics,38,19,57,D,4.00
100407,Human Resource Development and Organizational Behavior,46,20,66,C,3.00
105401,Computer Organization & Architecture,54,26,80,A,3.00
105402,Design & Analysis of Algorithms,31,17,48,P,3.00
105403,Operating Systems,39,23,62,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,15,42,A,2.00
105401P,Computer Organization & Architecture,25,18,43,A,2.00
105402P,Design & Analysis of Algorithms,22,17,39,B,2.00
105403P,Operating Systems,28,17,45,A+,2.00


Result for RegNo: 22155135025
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,25,16,41,P,3.00
100404,Discrete Mathematics,16,19,35,F,4.00
100407,Human Resource Development and Organizational Behavior,32,21,53,D,3.00
105401,Computer Organization & Architecture,26,20,46,P,3.00
105402,Design & Analysis of Algorithms,25,13,38,P,3.00
105403,Operating Systems,17,16,33,F,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,11,37,B,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
105402P,Design & Analysis of Algorithms,24,12,36,B,2.00
105403P,Operating Systems,22,17,39,B,2.00


Result for RegNo: 22155135026
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,51,16,67,C,3.00
100404,Discrete Mathematics,26,21,47,P,4.00
100407,Human Resource Development and Organizational Behavior,47,24,71,B,3.00
105401,Computer Organization & Architecture,43,26,69,C,3.00
105402,Design & Analysis of Algorithms,37,16,53,D,3.00
105403,Operating Systems,51,20,71,B,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,11,36,B,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,15,43,A,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135027
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,42,25,67,C,3.00
100404,Discrete Mathematics,25,22,47,P,4.00
100407,Human Resource Development and Organizational Behavior,41,24,65,C,3.00
105401,Computer Organization & Architecture,20,24,44,F,3.00
105402,Design & Analysis of Algorithms,27,25,52,D,3.00
105403,Operating Systems,13,19,32,F,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,15,41,A,2.00
105401P,Computer Organization & Architecture,25,17,42,A,2.00
105402P,Design & Analysis of Algorithms,25,20,45,A+,2.00
105403P,Operating Systems,22,17,39,B,2.00


Result for RegNo: 22155135028
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,48,22,70,B,3.00
100404,Discrete Mathematics,25,23,48,P,4.00
100407,Human Resource Development and Organizational Behavior,48,29,77,B,3.00
105401,Computer Organization & Architecture,46,29,75,B,3.00
105402,Design & Analysis of Algorithms,36,22,58,D,3.00
105403,Operating Systems,31,25,56,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,14,41,A,2.00
105401P,Computer Organization & Architecture,26,18,44,A,2.00
105402P,Design & Analysis of Algorithms,25,17,42,A,2.00
105403P,Operating Systems,26,17,43,A,2.00




Result for RegNo: 22155135030
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,49,21,70,B,3.00
100404,Discrete Mathematics,25,27,52,D,4.00
100407,Human Resource Development and Organizational Behavior,40,27,67,C,3.00
105401,Computer Organization & Architecture,42,28,70,B,3.00
105402,Design & Analysis of Algorithms,38,22,60,C,3.00
105403,Operating Systems,39,25,64,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,15,40,A,2.00
105401P,Computer Organization & Architecture,27,17,44,A,2.00
105402P,Design & Analysis of Algorithms,28,17,45,A+,2.00
105403P,Operating Systems,27,17,44,A,2.00


Result for RegNo: 22155135031
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,57,21,78,B,3.00
100404,Discrete Mathematics,34,24,58,D,4.00
100407,Human Resource Development and Organizational Behavior,30,26,56,D,3.00
105401,Computer Organization & Architecture,46,29,75,B,3.00
105402,Design & Analysis of Algorithms,49,20,69,C,3.00
105403,Operating Systems,33,24,57,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,27,17,44,A,2.00
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135032
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,40,23,63,C,3.00
100404,Discrete Mathematics,27,23,50,D,4.00
100407,Human Resource Development and Organizational Behavior,46,18,64,C,3.00
105401,Computer Organization & Architecture,37,25,62,C,3.00
105402,Design & Analysis of Algorithms,34,21,55,D,3.00
105403,Operating Systems,25,23,48,P,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,26,14,40,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,24,17,41,A,2.00
105403P,Operating Systems,22,16,38,B,2.00


Result for RegNo: 22155135033
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,51,25,76,B,3.00
100404,Discrete Mathematics,49,27,76,B,4.00
100407,Human Resource Development and Organizational Behavior,34,21,55,D,3.00
105401,Computer Organization & Architecture,47,26,73,B,3.00
105402,Design & Analysis of Algorithms,51,17,68,C,3.00
105403,Operating Systems,39,25,64,C,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,28,19,47,A+,2.00
105401P,Computer Organization & Architecture,27,18,45,A+,2.00
105402P,Design & Analysis of Algorithms,25,13,38,B,2.00
105403P,Operating Systems,24,17,41,A,2.00


Result for RegNo: 22155135034
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,37,24,61,C,3.00
100404,Discrete Mathematics,38,23,61,C,4.00
100407,Human Resource Development and Organizational Behavior,44,23,67,C,3.00
105401,Computer Organization & Architecture,48,28,76,B,3.00
105402,Design & Analysis of Algorithms,41,16,57,D,3.00
105403,Operating Systems,30,23,53,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,27,17,44,A,2.00
105401P,Computer Organization & Architecture,28,17,45,A+,2.00
105402P,Design & Analysis of Algorithms,24,15,39,B,2.00
105403P,Operating Systems,25,16,41,A,2.00


Result for RegNo: 22155135035
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403,Digital Electronics,56,21,77,B,3.00
100404,Discrete Mathematics,44,25,69,C,4.00
100407,Human Resource Development and Organizational Behavior,52,22,74,B,3.00
105401,Computer Organization & Architecture,41,28,69,C,3.00
105402,Design & Analysis of Algorithms,45,21,66,C,3.00
105403,Operating Systems,32,21,53,D,3.00
PRACTICAL Results
Subject_Code,Subject_Name,External,Internal,Total,Grade,Credit
100403P,Digital Electronics,25,15,40,A,2.00
105401P,Computer Organization & Architecture,26,17,43,A,2.00
